title,star,comments
超級瑪利歐銀河電影版,5.0,將電影裡融入遊戲片段，讓玩家們彷彿回到遊戲之中的快感，可愛的角色讓人越看越喜歡。 影片傳遞正向積極的生活態度，讓觀影者除了看電影也有重新思考人生的生活態度
超級瑪利歐銀河電影版,5.0,太精彩了。。。可惜沒有賀喜剛
超級瑪利歐銀河電影版,5.0,耀西超可愛
超級瑪利歐銀河電影版,5.0,真神做啊
超級瑪利歐銀河電影版,5.0,很好看，我覺得幾乎沒冷場，有明星大亂鬥的感覺，期待下一部，不知道會不會發展任天堂宇宙呢？
超級瑪利歐銀河電影版,5.0,"雖然沒看過!
有看預告片!
我也剛看完馬力歐大電影(線上有播過的)
但這個新作的劇情也很棒
預告中的小庫巴真的很可愛!❤️❤️❤️"
超級瑪利歐銀河電影版,5.0,超級瑪利歐銀河電影版！我特別喜歡粉紅色穿著裙子黛西公主👸👸👸👸👸！我看過第一集超級瑪利歐電影非常好看！非常的棒！非常的讚！非常適合大小朋友去看這部電影喔！我還沒有去看這部電影！我玩過超級瑪利歐賽車遊戲！這個遊戲特別好玩！我每一次都選擇黛西公主賽車遊戲都第一名喔！
超級瑪利歐銀河電影版,3.5,"由環球影業旗下照明娛樂攜手任天堂推出的《超級瑪利歐兄弟電影版》，在2023年成功將經典遊戲角色推向大銀幕。
時隔三年，本次續集《超級瑪利歐銀河電影版》不僅延續熱度，更作為《超級瑪利歐系列》40周年紀念作品，正式把舞台拓展至宇宙等級。
本片由亞倫·霍爾維斯與麥可·傑勒尼克執導，並由克里斯·梅勒丹德利與宮本茂擔任監製。
配音陣容同樣豪華，包括克里斯·普瑞特、查理·戴、安雅·泰勒-喬伊、傑克·布萊克等人，再次為角色注入鮮明靈魂。
華特·迪士尼曾說：「我只希望我們永遠不要忘記，這一切都是從一隻老鼠開始的。」那麼對任天堂來說，一切，或許正是始於一位水管工人——瑪利歐。
即使我平常多半遊玩Steam上的遊戲，也不得不佩服宮本茂帶領任天堂走出的獨特道路。
40年過去，任天堂早已不只是遊戲公司，從主題樂園到影視產業全面擴張，未來甚至有機會在娛樂版圖上與迪士尼一較高下。
或許遊戲改編電影仍常被影評質疑，但只要觀眾買單，那它的價值就已經成立。
這次故事直接拉到宇宙舞台，世界觀大幅擴張。
新角色的加入讓整體更加豐富，特別是羅潔塔對抗Megaleg的橋段，氣場直接拉滿，也讓整體情緒多了層次。"
麥可傑克森,5.0,"身爲MJ迷
能再次從任何一個地方看到他的影子
每一個畫面場景
音樂 舞蹈都讓我格外珍惜
從頭到尾都好感動 甚至有點想哭
真的是史無前例的超級巨星
看完電影整個又讓我熱血沸騰起來
回家又再度 重頭到尾把他追一次
拜託續集一定要出
即使出了 1.2.3.4.5.6.7.8.9.10 集
我通通都會去看
*要演MJ這角色真的太難演，因為他舉手投足都太獨一無二，電影看完真心覺得能演他的人很強。"
麥可傑克森,5.0,知道他是巨星，但對其不太了解！原只是想了解其成長歷程，不曉得這麼好看！超出想像！必推
